"Author-Organisations","Title","Place of Publication","Publisher","Date of Publication","ISBN","BL Record ID"
"Aardman Animations (Firm)","A grand day out","London","BBC","1999.","056338008X (pbk.)","010063175"
"Aardman Animations (Firm)","The bootiful game","London","Titan","2005.","1840239484 (pbk.)","013251379"
"Air Gallery.","KAK 77.","Birmingham","AR-ZAK The Arts Lab Press","[1977].","","013309720"
"American Bande Dessinée Society.","European comic art","Liverpool","Liverpool University Press","2008-","","013710646"
"American Bande Dessinée Society.","European comic art.","Liverpool","Liverpool University Press","2008-","","013710647"
"Amnesty International.","Drawing blood :cartoons for Amnesty International","London","Grub Street","c1994.","1898697108","008837915"
"Anderson & Low.","Manga dreams :a homage to the manga and anime creators and artists","[S.l.]","Lucky Panda Press","2010.","9780955899720 (pbk.);0955899729 (pbk.)","015770043"
"Anne Frank House.","The search :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519762 (pbk.);033051976X (pbk.)","015638677"
"Anne Frank House.","A family secret :a graphic novel of courage and resistance brought to you by the Anne Frank House","London","Macmillan Children's","2011.","9780330519823 (pbk.);0330519824 (pbk.)","015638678"
"Antique Collectors' Club.","Great mistakes of civilisation :mankind's mistakes and faux pas","Woodbridge","Antique Collectors' Club","c1996.","1851492461","011400327"
"Arcana Studio.","Hide and shriek!","London","Raintree","2012.","9781406237184 (pbk.);1406237183 (pbk.)","015885005"
"Arcana Studio.","The king of Halloween Castle","London","Raintree","2012.","9781406237191 (pbk.);1406237191 (pbk.)","015885006"
"Arcana Studio.","Lost in Spooky Forest","London","Raintree","2012.","9781406237207 (pbk.);1406237205 (pbk.)","015899587"
"Arcana Studio.","Monster Mansion","London","Raintree","2012.","9781406237214 (pbk.);1406237213 (pbk.)","015899588"
"Arcana Studio.","My missing monster","London","Raintree","2012.","9781406237221 (pbk.);1406237221 (pbk.)","015955919"
"Arcana Studio.","New monster in school","London","Raintree","2012.","9781406237238 (pbk.);140623723X (pbk.)","015955920"
"Arcana Studio.","Monster beach","London","Raintree","2012.","9781406242263 (pbk.);1406242268 (pbk.)","015964522"
"Arcana Studio.","The missing mummy","London","Raintree","2012.","9781406242270 (pbk.);1406242276 (pbk.)","015964523"
"Arcana Studio.","The toy snatcher","London","Raintree","2012.","9781406242300 (pbk.);1406242306 (pbk.)","015986738"
"Arcana Studio.","The wolfboy's wish","London","Raintree","2012.","9781406242317 (pbk.);1406242314 (pbk.)","015986739"
"Arkadia.","Thunderbirds :the ultimate pop-up fact book","London","Boxtree","1993.","1852838949","012028517"
"Art Studuim (Firm)","The Wizard Oz","London","Hodder and Stoughton","1978.","0340233575","010687586"
"Art Studuim (Firm)","Alice in Wonderland","London","Hodder and Stoughton","1978.","0340233583","010687587"
"Art Studuim (Firm)","The adventures of Pinocchio","London","Hodder and Stoughton","1978.","0340233591","010687588"
"Art Studuim (Firm)","Peter Pan","London","Hodder and Stoughton","1978.","0340233605","010687589"
"Arts & Humanities Research Council (Great Britain)","Concentrationary memoriespolitics of representation, 1945-1985 : international conference 23-25 March 2009, University of Leeds.","Leeds","CentreCATH","2009.","9780955334856;0955334853","015284282"
"Arts for the Earth.","Earth mirth","[London]","Kingswood","1986.","043498101X (pbk)","007374538"
"Ashmolean Museum.","Caricatures and watercolours.","","Ashmolean Museum","1987.","0907849830 (pbk)","007449161"
"Ashmolean Museum.","The Art of laughter :cartoonists' & collectors' choice","[Great Britain]","[Cartoon Art Trust in association with the Ashmolean Museum]","c1992.","1854440357 (pbk)","012044744"
"Ashmolean Museum.","Ruskin's drawings","Oxford","Ashmolean Museum","2010.","9781854441041 (hbk.);1854441043 (hbk.)","015645292"
"Associated Newspapers Group.","Jak :his life and work.","London","Solo published for Associated Newspapers","1997.","1873939108 (cased);1873939051 (pbk)","008827249"
"Association for Scottish Literary Studies.","The first men on Mercury :from a poem by Edwin Morgan","Glasgow","Association for Scottish Literary Studies","c2009.","","015452292"
"Association Internationale Des Hum:oristes.","Slightly out of order :best cartoons from the Continent","","Hammond,Hammond","1959.","","010928935"
"Association of Comics Enthusiasts.","Comic cuts :newsletter of the Association of Comics Enthusiasts.","[London]","[Association of Comics Enthusiasts]","[1978]-","","005611706"
"Attack International.","Breaking free","London","Attack International (Organization)","[1989?]","0951426109","009470571"
"Barbican Art Gallery.","Watch me move :the animation show","London","Merrell","2011.","9781858945583 (pbk.);1858945585 (pbk.)","015772472"
"Barron's Educational Series, Inc.","Barron's book of cartoons.","Paramus, N.J. ; [Great Britain]","Prentice Hall Press","c1999.","0735201420;0130872040 (Barron's)","009437971"
"Basic Skills Agency.","The hound of the Baskervilles","London","Hodder & Stoughton Educational","2001.","0340782595 (pbk)","009748288"
"Basic Skills Agency.","Treasure Island","London","Hodder & Stoughton Educational","2001.","0340782609 (pbk)","010973263"
"Basic Skills Agency.","A Christmas carol","London","Hodder & Stoughton","2001.","9780340782613 (pbk.);0340782617 (pbk.)","010973264"
"Basic Skills Agency.","Frankenstein","London","Hodder & Stoughton Educational","2001.","0340782625 (pbk)","010973265"
"Basic Skills Agency.","Dr Jekyll and Mr Hyde","London","Hodder & Stoughton","2003.","0340871598 (pbk)","010974826"
"Basic Skills Agency.","Silas Marner :the weaver of Raveloe","London","Hodder & Stoughton published in association with Basic Skills Agency","2003.","034087158X (pbk.)","011320212"
"Basic Skills Agency.","Jane Eyre","London","Hodder & Stoughton Educational","2003.","0340871601 (pbk.)","012919360"
"Bath Municipal Libraries.","Comic cuts :an exhibition of comic papers and Christmas periodicals from 1850 to the present day [at] Bath Reference Library, 18 Queen Square, 27 November 1971 - 15 January 1972","[Bath] (18 Queen Sq., Bath, Somerset)","[Bath Reference Library]","[1971]","090159105X (sd)","011605864"
"BBC Enterprises.","Maid Marian and her merry men","London","BBC.","1991,","0563362200","006729204"
"BBC Worldwide Ltd.","The Flintstones :Sherock Stones.","London","BBC Worldwide","2000.","0563475803","013289922"
"Bibliothèque municipale (Caen, France)","Boney, ou, Napoleon vu par les Anglais","[Exeter]","Devon Library Services","c1985.","0861145550 (pbk)","010116509"
"Birmingham Arts Lab.","KAK komix :a souvenier of Birmingham Arts Lab's Konvention of Alternative Komix July 2,3,4 1976.","[Birmingham","Arts Lab Press","c1976].","","013309782"
"Bradford (West Yorkshire, England).","Wuthering Heights :the graphic novel","Bradford","Dept. of Arts Heritage and Leisure, Bradford MDC","2006.","9780946657254 (pbk.);0946657254 (pbk.)","013657990"
"British Animation Awards (Organization)","The book of B A A art :artists, animators & sheep","[London?]","British Council","2007.","9780955584503 (pbk.)","014538965"
"British Broadcasting Corporation.","Teletubbies annual ...","Handforth","World International","1997-","","011133844"
"British Cartoon Archive.","Giles :one of the family.","Canterbury","British Cartoon Archive, University of Kent","c2008.","9781902671628 (pbk.)","015289647"
"British Council.","Giles :fifty years at work","London","British Council","c1994.","0863552501 (pbk)","010749332"
"British E.R.B. Society.","The Martian","[London] ([92 Chetwynd Rd, N.W.5])","British E.R.B. Society","1975.","0950513504 (pbk)","008813882"
"British Library.","Dictionary of British comic artists, writers and editors","London","British Library","1998.","0712345213","009537099"
"British Museum.","Hogarth and his times :serious comedy","London","Published for the Trustees of the British Museum by British Museum Press in association with the Parnassus Foundation","c1997.","0714126144 (pbk)","008084161"
"British Museum.","James Gillray :the caricaturist 1756-1815 : a touring exhibition","[London]","[British Museum, Department of Prints and Drawings]","1985.","","011808927"
"British Psychic and Occult Society.","The adventures of Bishop Bonkers :the lost works of Cecil Lamont-Dwiggins.","London","British Psychic & Occult Society","[2007]","9780963848192 (pbk.)","014459768"
"Campaign for Real Ale.","Kegbuster remembers","St. Albans","CAMRA","1997.","1852491345 (pbk)","011408901"
"Campaign for Real Ale.","Ale & Arty.","Ipswich","Campaign for Real Ale","[1984?]","","011811035"
"Canterbury College of Arts.","Hogarth to Cruickshank :social and political caricature : an exhibition of original prints arranged by the History of Art and Design Department of Canterbury College of Art.","Kent","Kent County Council, Education Committee","1985.","","007236431"
"Cartoon Art Trust Museum.","A mixture of gin and buttercups :a retrospective exhibition of the cartoons and caricatures of Michael ffolkes at The Cartoon Art Trust Museum : 4 September - 1 November 2003.","London","Cartoon Art Trust Museum","[2003?].","","013109398"
"Cartoon Art Trust.","The 100 British cartoonists of the century.","London","Beer Davies","2000.","0953726312 (pbk.)","010123153"
"Cartoon Art Trust.","The Art of laughter :cartoonists' & collectors' choice","[Great Britain]","[Cartoon Art Trust in association with the Ashmolean Museum]","c1992.","1854440357 (pbk)","012044744"
"Cartoon Bank Inc.","Now that you can walk, go get me a beer :a book for dads","New York ; London","Simon & Schuster","c1994.","0671879626 (pbk)","011350813"
"Cartoon Museum (London, England)","Heath Robinson's helpful solutions","London","Cartoon Museum","c2007.","9780953726349 (pbk.)","014523239"
"Cartoon Museum (London, England)","A view of Dightons :the Dighton family, their times, caricatures and portraits","London","Cartoon Museum","c2007.","9780953726325 (pbk.)","013760688"
"Cartoon Network (Television network)","CN toon party!.","Tunbridge Wells","Panini","2007.","9781846530227 (pbk.);1846530229 (pbk.)","013640222"
"Cartoon Network (Television network)","Ben 10 comic book.","London","Egmont Books","2009.","9781405247573 (set : pbk);9781405246637 (v. 1 : pbk);9781405246644 (v. 2 : pbk);9781405248044 (v. 3 : pbk.);9781405248051 (v. 4 : pbk.)","014892074"
"Cartoonists Guild.","Animals, animals, animals :a collection of great animal cartoons","New York ; London","Harper and Row","1979.","0060104295","010023516"
"Catalyst Arts (Organisation)","Portmanteau.","Belfast","Catalyst Arts","2011.","9780954908232 (pbk.)","015839123"
"Channel Four (Great Britain)","Art and animation","London","Channel 4 Television","1999.","1851442448 (pbk.)","011399767"
"Channel Tunnel Group.","The laugh at the end of the tunnel :the Channel Tunnel through cartoonists' eyes = Maudit tunnel bien-aimʹe : le tunnel sous la Manche vu par les dessinateurs humoristiques ","[Folkestone]","Channel Tunnel Group","c1992.","187200914X (pbk)","008155166"
"Children in Scotland (Organization)","Councils of the galaxy :issue #175, Scotland, earth","Edinburgh","Children in Scotland","c2010.","9781901589672 (pbk.)","015586443"
"Children's Book Foundation.","Stuff and nonsense.","","Two-Can Publishing in association with the Children's Book Foundation, Book Trust","1988-","","011825412"
"Chris Beetles Gallery.","Ronald Searle remembered, 1920-2011 :England's greatest cartoonist","London","Chris Beetles","c2012.","9781905738441 (pbk.)","016113197"
"Chris Beetles Limited.","William Heath Robinson :an exhibition","London (104 Randolph Ave., W9 1PQ)","C. Beetles","[1984?]","","011186217"
"CLAMP (Mangaka group)","Xxxholic","London","Tanoshimi","2006-","0099504073 (v. 1 : pbk.);9780099504085 (v. 2 : pbk.);0099504081 (v. 2 : pbk.);009950409X (v. 3 : pbk.);9780099504832 (v. 4 : pbk.);0099504839 (v. 4 : pbk.);9780099504849 (v. 5 : pbk.);0099504847 (v. 5 : pbk.);9780099504856 (v. 6 : pbk.);0099504855 (v. 6 : pbk.);9780099504863 (v. 7 : pbk.);0099504863 (v. 7 : pbk.);9780099504870 (v. 8 : pbk.)","013447368"
"CLAMP (Mangaka group)","Tsubasa","London","Tanoshimi","2006-","9780099504122 (v. 1 : pbk.);009950412X (v. 1 : pbk.);9780099504139 (v. 2 : pbk.);0099504138 (v. 2 : pbk.);9780099504146 (v. 3 : pbk.);0099504146 (v. 3 : pbk.);9780099504924 (v. 4 : pbk.);0099504928 (v. 4 : pbk.);9780099504931 (v. 5 : pbk.);0099504936 (v. 5 : pbk.);9780099504948 (v. 6 : pbk.);0099504944 (v. 6 : pbk.);9780099504955 (v. 7 : pb","013454438"
"Comic Book Alliance.","Spirit of hope","Marple, Cheshire","Comic Book Alliance","2011.","9780956917003 (pbk.);0956917003 (pbk.);9780956917010 (variant cover)","015858544"
"Comic Stripper (Firm)","The space lobes","[Newbury]","Jonnie Rocket","2011.","9780956039767 (pbk.)","015792081"
"Comic Stripper (Firm)","The ride of terror","[Newbury]","Jonnie Rocket Ltd.","2011.","9780956039743 (pbk.)","016007714"
"Comicraft (Firm)","Shadows linger","[London?]","[Titan]","c2009.","9781848561465 (pbk.);1848561466 (pbk.)","014864694"
"Contact Cultures (Organization)","Speak for yourself","Leicester","Contact Cultures","c2008.","9780955585364 (pbk.);0955585368 (pbk.)","014705510"
"Coracle Press.","Sources and structure in painting and drawing","London","Coracle Press","1978.","","012943851"
"Dark Horse Comics.","Digital digimon monsters","London","Titan","2000.","1840232773 (pbk)","010761654"
"DC Comics, Inc.","Superman :the ultimate guide to the man of steel","London","Dorling Kindersley","2002.","0751320668","010728342"
"DC Comics, Inc.","The Amalgam age of comics :the DC comics collection","London","Titan","1996.","1852867515 (pbk)","012029335"
"DC Comics, Inc.","The DC Comics encyclopedia :[the definitive guide to the characters of the DC universe].","London","Dorling Kindersley","2004.","1405305916 (hbk.)","012976515"
"DC Comics, Inc.","JLA :the greatest stories ever told.","New York, N.Y.","Titan Books","c2006.","9781401209322 (DC Comics : pbk.);184576305X (Titan : pbk.);1401209327 (DC Comics : pbk.)","013432134"
"DC Comics, Inc.","The DC Comics encyclopedia :the definitive guide to the characters of the DC universe","London","Dorling Kindersley","2008.","9781405328913 (hbk.);1405328916 (hbk.)","014656930"
"DC Comics, Inc.","DC Comics super hero collection.","London","Eaglemoss","2011-","","015651100"
"DC Comics, Inc.","The Batman annuals.","New York","DC Comics","2010.","9781401227913 (hbk.)","015676102"
"DC Comics, Inc.","DC Comics - the ultimate character guide","London","Dorling Kindersley","2011.","9781405367783 (hbk.);1405367784 (hbk.)","015706329"
"DC Comics, Inc.","Going ... batty!","","","","9781406279627 (hbk.)","016558883"
"Dead Pirates (Musical group)","Malevolent melody","London","Nobrow","c2009.","9780956213549 (pbk.);0956213545 (pbk.)","015560133"
"Dearne High (School : Dearne, England)","Fool's gold","Guildford","Grosvenor House Publishing","2009.","9781907211737 (pbk.)","015504784"
"Deveron Arts (Organization)","By Dandi :a cartoon trip around the town of Huntly","[Huntly]","Deveron Arts","c2005.","0954426169 (pbk.)","013797525"
"Devon Library Services.","Boney, ou, Napoleon vu par les Anglais","[Exeter]","Devon Library Services","c1985.","0861145550 (pbk)","010116509"
"Digital Chameleon (Firm)","Monsters","[London?","Titan]","c2009.","9781848564480 (pbk.);1848564481 (pbk.)","015357760"
"DreamWorks Animation.","Monsters vs Aliens annual.","Exeter","Pedigree Books","2009-","","016175041"
"DreamWorks Animation.","Madagascar 3 :the official handbook","London","Bantam","2012.","9780857511355 (pbk.)","016179756"
"Dreamworks Pictures.","Madagascar annual.","Exeter","Pedigree Books","2006-","","013432683"
"Dublin University Philosophical Society.","Ireland under the Georgian cartoonists :a peep into the University Philosophical Society; or, An exhibition of satirical prints [held] February 26th to March the 16th in the New Library, TCD [Trinity College, Dublin].","[Dublin] (New Library, Trinity College, Dublin)","Trinity College, Dublin, Exhibition Committee","[1973]","0903547082 (sd)","009928679"
"Duncan of Jordanstone College of Art and Design.","Anthology.","Dundee","UniVerse, Duncan of Jordanstone College of Art and Design and the University of Dundee","2012-","","016184449"
"Dundee City Museum and Art Gallery.","The Dudley Watkins exhibition :an exhibition arranged by Dundee Museums and Art Galleries with the kind assistance of D.C. Thomson & Co. Ltd.","[London]","[D.C. Thomson]","[1979]","","010994467"
"Eagle Society (Great Britain)","Eagle times :the quarterly journal of the Eagle Society.","Duston","Eagle Society","1987-","","007252145"
"English Heritage.","Out of the dark","[Swindon?]","English Heritage","c2005.","9780955114205 (pbk.);0955114209 (pbk.)","013636949"
"Estudio Joso.","The monster book of manga","London","Collins","2006.","9780007242849 (pbk.);0007242840 (pbk.)","013485504"
"Eurotunnel.","The laugh at the end of the tunnel :the Channel Tunnel through cartoonists' eyes = Maudit tunnel bien-aimʹe : le tunnel sous la Manche vu par les dessinateurs humoristiques ","[Folkestone]","Channel Tunnel Group","c1992.","187200914X (pbk)","008155166"
"Express Newspapers Ltd.","Rupert's adventure book.","London","Express Newspapers","c1992.","","012488754"
"Express Newspapers Ltd.","Giles Daily Express and Sunday Express cartoons :fifty fifth series","Exeter","Pedigree","2002, c2001.","1902836634 (pbk.)","013091039"
"Express Newspapers Ltd.","Barry Appleby's The Gambols :","Exeter","Pedigree","2000.","1874507333","013290094"
"Express Newspapers Ltd.","Giles :the collection 2011.","London","Hamlyn","2010.","9780600621195 (pbk.);0600621197 (pbk.)","015583594"
"Express Newspapers Ltd.","Giles :the collection 2013","London","Hamlyn","2012.","9780600624554 (pbk.);0600624552 (pbk.)","016086312"
"Édition Biografiktion.","Biografiktion","London","Nobrow","[2013]","9781907704529 (pbk.);1907704523 (pbk.)","016099703"
"Ferguslie Graphic Novel Team (Project)","Terror at the Tanny","[Paisley","Zombie Ltd.","2012]","9780955722431 (pbk.)","016142133"
"Followers of Rupert (Organization)","Rupert and the Daily express :75 years of Rupert's daily adventures, 1920-1995 : Nutwood special issue","[Lewes?]","Followers of Rupert","c1995.","","007248669"
"Followers of Rupert (Organization)","Nutwood newsletter.","Waltham Abbey","Followers of Rupert","1990-","","012482256"
"Friends of the Earth.","Earth mirth","[London]","Kingswood","1986.","043498101X (pbk)","007374538"
"Friends' Fun Department.","'Our foolish ways' :an anthology of follies","Radlett","Friends' Fun Department","1978.","","010541711"
"Games Workshop.","Deathwatch","Nottingham","Black Library","2004.","1844161005 (pbk.)","006902558"
"Games Workshop.","The life and times of Ulli & Marquand and their misadventures in Mordheim, city of the damned","Nottingham","Games Workshop Publishing","2002.","1841542113 (pbk.)","010768124"
"Games Workshop.","Insignium astartes :the uniforms & regalia of the space marines","Nottingham","Games Workshop","2010.","9781844169030 (pbk.)","015633847"
"Games Workshop.","Lone Wolves","","","","9781849701662 (paperback)","016109141"
"Glasgow Print Studio.","The Scottish cartoonists.","[Glasgow] ([128 Ingram St., Glasgow G1 1EJ])","[Glasgow Print Studio Limited]","[1979]","","010546896"
"Golden Gate Production Company.","The funniest 4x4 by far :a compendium of Land Rover cartoons","Woolpit","Golden Gate Production Company","2005.","0955201314 (pbk.)","013418083"
"Great Britain.","Dry humour :how cartoonists saw the drought of '76.","London (1 Queen Anne's Gate, SW1H 9BT)","National Water Council","1976.","0904561194 (sd)","012681933"
"H-57","Film in five seconds :over 150 great movie moments - in moments!","","","","9781848662964 (pbk.)","016490261"
"H-57.","Life in five seconds :over 200 stories for those with no time to waste","London","Quercus","2012.","9781780876764 (paperback);1780876769 (paperback)","016127276"
"Hasbro, Inc.","First encounter","Los Angeles, Calif. ; London","Tokyopop","2003.","159182673X (pbk.)","006924874"
"Hatton Gallery.","72 drawings","Newcastle upon Tyne","'Stand'","[1969]","0950046507 (sd)","012247645"
"Hayward Gallery.","Cult fiction :art and comics","London","Hayward Gallery","2007.","9781853322600 (pbk.);1853322601 (pbk.)","013661442"
"Hi-Fi Colour Design.","Sgt. Rock :the lost battalion","[Great Britain]","Titan Books","c2009.","9780857680099 (pbk.);0857680099 (pbk.)","015659664"
"Holy T-Shirts.","The overwhelming Motörhead in rock commando ","[London]","Holy T-Shirts","c1980.","","013323120"
"I.T.M.A. Team.","Fantasy.","London (93c Venner Rd, Sydenham SE26 5HU)","ITMA","1990-","","008415785"
"Information and Study Centre for Alternative Medicine.","Oh for another osteopath!","Maidstone","Information and Study Centre for Alternative Medicine","c1989.","0950477338 (pbk)","008813441"
"Inklink (Firm)","Ancient Greece","London","Dorling Kindersley","2004.","1405303689 (hbk.)","012937700"
"International Bande Dessinée Society.","European comic art","Liverpool","Liverpool University Press","2008-","","013710646"
"International Bande Dessinée Society.","European comic art.","Liverpool","Liverpool University Press","2008-","","013710647"
"International Police Association.","Let's go with Don, yech.","[Liverpool]","M. & W. Publications (Liverpool) [for] the International Police Association (British Section)","[1969]","0901599018 (sd)","012244924"
"International Press Foundation.","Frontiers :an exhibition of original cartoon drawings = Frontières : une exposition de dessins humoristiques originaux ","Canterbury","Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury with the support of the International Press Foundation","1992.","0904938336 (pbk)","012684388"
"Isle of Wight County Press Ltd.","Wight smiles 3 :I.O.W. cartoons","[Newport, Isle of Wight","Isle of Wight County Press Ltd.],","2007.","9781870947268 (pbk.);1870947266 (pbk.)","014559378"
"Jayde Design.","Elric :the return to Melniboné ","London","Jayde Design","1997.","0952007436 (pbk)","009476253"
"Kent (England).","Hogarth to Cruickshank :social and political caricature : an exhibition of original prints arranged by the History of Art and Design Department of Canterbury College of Art.","Kent","Kent County Council, Education Committee","1985.","","007236431"
"Kersten Brothers Studio.","Caroline in the city","London","Coronet","1997.","0340696044 (pbk)","010345525"
"Kersten Brothers' Studios.","Caroline in the city","London","Coronet Books","1997.","0340696044 (pbk.)","012900450"
"Kettle's Yard Gallery.","The cartoons of Trog :Kettle's Yard, Northampton St., Cambridge 19 April-11 May 1980.","[Cambridge]","[The Yard]","[1980]","0907074030 (pbk)","007443319"
"Lavish (Firm)","Back to the 50s","Dublin","Imagineire","2005.","9781904725091 (pbk.);1904725090 (pbk.)","013040111"
"LEGO Media (Firm)","Rock raiders","Slough","Lego Media International","c2000.","1903276047 (pbk.)","009500653"
"Lewis Walpole Library.","Among the whores and thieves: William Hogarth and The beggar's opera","[New Haven, Conn.? ; Great Britain]","Yale Center for British Art, The Lewis Walpole Library","1997.","0300095481 (pbk.)","010337462"
"Library Association.","Graphic account :the selection and promotion of graphic novels in libraries for young people","Newcastle-under-Lyme","Library Association Youth Libraries Group","c1993.","0946581169","008133566"
"Library of Congress.","English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.","London","Victoria and Albert Museum","1984.","0905209958 (pbk)","012686628"
"Liquid Comics (Firm)","What's up with Paulina? :Medikidz explain food allergy","London","MediKidz","2009.","9781906935061 (pbk.);1906935068 (pbk.)","015362676"
"Liquid Comics (Firm)","What's up with Ella? :MediKidz explain type 1 diabetes","London","MediKidz","2009.","9781906935078 (pbk.);1906935076 (pbk.)","015362677"
"London Lighthouse.","Strip AIDS :a charity project for London Lighthouse.","London","Willyprods/Small Time Ink","1987.","0951252208 (pbk)","008821842"
"London Print Studio Comics Collective.","Parallel lives :an anthology by The London Print Studio Comics Collective.","London","Knockabout","2012.","9780956915917 (pbk.);0956915914 (pbk.)","016054172"
"Londonprintstudio (Organization).","Imagined cities.","London","Londonprintstudio Comics Collective","c2011.","9780956915900 (pbk.);0956915906 (pbk.)","015853973"
"Lucasfilm, Ltd.","Star wars.","London","Titan Books","2004-","1840239956 (v. 1 : pbk.);1840238402 (v. 2 : pbk.);1845760204 (v. 3 : pbk.);1845761898 (v. 4 : pbk.);1845762754 (v. 5 : pbk.);184576367X (v. 6 : pbk.);9781845764586 (v. 7 : pbk.);1845764587 (v. 7 : pbk.);9781845764623 (v. 8 : pbk.);1845764625 (v. 8 : pbk.);9781845766580 (v. 9 : pbk.);184576658X (v. 9 : pbk.);9781845766597 (v. 10 : pbk.);1845","012286470"
"Magic Eye Studios.","Cowboys & aliens","London","Fourth Estate","2011, c2006.","9780007446254 (pbk.)","015854505"
"Manchester Polytechnic.","22 comic artists :an exhibition","Manchester ([Procurement Section, Minshull House, 47 Chorlton St., Manchester M1 3EU])","The Library","1975.","0901276073 (sd)","012025163"
"Marvel Comics Group.","X-men visionaries :the Neal Adams collection.","London","Boxtree","1996.","0752203746 (pbk)","010731088"
"Marvel Comics Group.","Marvels","London","Boxtree","1995.","0752206451 (pbk)","010731159"
"Marvel Comics Group.","Fantastic Four :the ultimate guide","London","Dorling Kindersley","2005.","9781405309967 (hbk.);1405309962 (hbk.)","013136178"
